,price,bedrooms,bathrooms,view,condition,grade,lat,long,basement,floors_1.5,floors_2.0,floors_2.5,floors_3.0,floors_3.5
43,309000.0,3,1.0,0.0,4,6,47.4485,-122.175,1,0,0,0,0,0
44,488000.0,3,2.5,0.0,3,8,47.7443,-121.977,0,0,1,0,0,0
45,210490.0,3,1.0,0.0,3,6,47.3066,-122.371,0,0,0,0,0,0
46,785000.0,4,2.5,0.0,4,9,47.6194,-122.151,0,0,1,0,0,0
47,450000.0,3,1.75,0.0,4,7,47.6796,-122.301,0,0,0,0,0,0
49,228000.0,3,1.0,0.0,3,7,47.4258,-122.322,0,0,0,0,0,0
50,345000.0,5,2.5,0.0,4,8,47.4934,-122.189,1,0,0,0,0,0
51,600000.0,3,1.75,0.0,4,7,47.6808,-122.384,1,0,0,0,0,0
52,585000.0,2,1.75,0.0,3,7,47.6989,-122.369,1,0,0,0,0,0
53,920000.0,5,2.25,0.0,3,8,47.6571,-122.281,1,1,0,0,0,0
54,885000.0,4,2.5,0.0,3,9,47.6597,-122.29,0,0,1,0,0,0
55,292500.0,4,2.5,0.0,3,7,47.3663,-122.114,0,0,1,0,0,0
56,301000.0,3,2.5,0.0,3,8,47.3663,-122.122,0,0,1,0,0,0
57,951000.0,5,3.25,4.0,4,8,47.588,-122.116,0,0,1,0,0,0
58,430000.0,4,3.0,0.0,3,8,47.5059,-122.149,0,0,1,0,0,0
59,650000.0,3,2.25,3.0,4,8,47.4336,-122.339,1,0,0,0,0,0
60,289000.0,3,1.75,0.0,3,7,47.4366,-122.335,0,0,0,0,0,0
61,505000.0,3,1.75,0.0,5,8,47.4428,-122.344,0,0,1,0,0,0
62,549000.0,3,1.75,0.0,3,8,47.6765,-122.32,0,0,0,0,1,0
63,425000.0,3,2.25,0.0,3,7,47.6113,-122.297,1,0,0,0,0,0
64,317625.0,3,2.75,0.0,5,7,47.5747,-122.304,1,1,0,0,0,0
65,975000.0,4,2.5,0.0,3,10,47.5815,-122.192,0,0,1,0,0,0
66,287000.0,4,2.5,0.0,3,7,47.3378,-122.257,0,0,1,0,0,0
67,204000.0,3,1.0,0.0,4,7,47.3621,-122.11,0,0,0,0,0,0
70,325000.0,3,2.0,0.0,4,7,47.7362,-122.179,0,0,0,0,0,0
71,571000.0,4,2.0,0.0,5,7,47.7168,-122.287,1,1,0,0,0,0
72,360000.0,4,2.5,0.0,3,8,47.3608,-122.036,0,0,1,0,0,0
73,349000.0,3,1.75,0.0,5,7,47.3511,-122.073,1,0,0,0,0,0
75,380000.0,4,1.75,0.0,3,7,47.6034,-122.125,1,0,0,0,0,0
76,480000.0,3,1.0,0.0,3,7,47.5636,-122.394,0,0,0,0,0,0
77,410000.0,3,1.0,0.0,4,7,47.7073,-122.34,1,0,0,0,0,0
78,720000.0,4,2.5,0.0,3,10,47.342,-122.025,0,0,1,0,0,0
79,390000.0,3,2.5,0.0,3,8,47.3512,-122.008,0,0,1,0,0,0
80,360000.0,4,2.5,0.0,3,7,47.349,-122.031,0,0,1,0,0,0
81,355000.0,2,1.0,0.0,3,7,47.5474,-122.291,1,0,0,0,0,0
82,356000.0,3,1.5,0.0,3,8,47.4811,-122.149,0,0,0,0,0,0
83,315000.0,3,1.0,0.0,3,6,47.7264,-122.31,0,0,0,0,0,0
84,940000.0,3,1.5,0.0,3,9,47.6337,-122.365,1,0,1,0,0,0
85,305000.0,5,2.25,0.0,5,7,47.2909,-122.189,0,1,0,0,0,0
86,461000.0,3,3.25,0.0,3,9,47.5228,-122.199,1,0,1,0,0,0
87,215000.0,2,2.25,0.0,4,7,47.518,-122.194,0,0,1,0,0,0
88,335000.0,2,1.75,0.0,3,7,47.5394,-122.387,1,0,1,0,0,0
89,243500.0,4,2.5,0.0,3,7,47.2897,-122.372,0,0,1,0,0,0
91,153000.0,3,1.0,0.0,3,7,47.322,-122.351,0,0,0,0,0,0
92,430000.0,3,1.5,0.0,3,8,47.687,-122.386,1,0,0,0,0,0
93,700000.0,3,1.5,0.0,3,8,47.687,-122.386,1,0,0,0,0,0
94,905000.0,4,2.5,0.0,3,7,47.5873,-122.249,1,0,0,0,0,0
95,247500.0,3,1.75,0.0,3,7,47.3576,-122.277,0,0,0,0,0,0
96,199000.0,4,1.5,0.0,4,7,47.3036,-122.378,0,0,0,0,0,0
97,314000.0,3,1.75,0.0,5,7,47.4109,-121.958,1,0,0,0,0,0
98,437500.0,3,2.5,2.0,3,9,47.4838,-121.714,0,0,1,0,0,0
99,850830.0,3,2.5,0.0,5,9,47.6415,-122.315,1,1,0,0,0,0
100,555000.0,3,2.0,0.0,4,7,47.6775,-122.372,1,1,0,0,0,0
101,699950.0,3,2.25,0.0,4,8,47.7731,-122.08,0,0,1,0,0,0
103,290000.0,3,1.0,0.0,3,7,47.4375,-122.184,0,0,0,0,0,0
104,375000.0,3,2.5,0.0,4,8,47.4431,-122.133,1,0,0,0,0,0
105,460000.0,3,1.0,0.0,4,7,47.6878,-122.38,1,1,0,0,0,0
106,188500.0,2,1.75,0.0,4,8,47.3813,-122.322,0,0,0,0,0,0
107,680000.0,4,2.5,0.0,4,10,47.7304,-122.082,0,0,1,0,0,0
108,470000.0,5,1.75,0.0,4,7,47.6417,-122.109,0,0,1,0,0,0
109,597750.0,4,2.5,0.0,3,8,47.5386,-122.053,0,0,1,0,0,0
110,570000.0,3,1.75,0.0,5,6,47.6823,-122.349,1,0,0,0,0,0
111,272500.0,3,1.75,0.0,4,7,47.3624,-122.031,0,0,0,0,0,0
112,329950.0,3,1.75,2.0,3,7,47.5474,-122.295,1,0,0,0,0,0
113,740500.0,3,3.5,0.0,3,8,47.6981,-122.368,0,0,1,0,0,0
114,518500.0,3,3.5,0.0,3,8,47.6824,-122.347,0,0,0,0,1,0
115,205425.0,2,1.0,0.0,4,6,47.5009,-122.248,0,0,0,0,0,0
116,171800.0,4,2.0,0.0,3,6,47.4965,-122.303,0,0,0,0,0,0
117,535000.0,4,1.0,0.0,4,7,47.587,-122.294,0,1,0,0,0,0
118,660000.0,3,2.5,2.0,3,8,47.7728,-122.386,1,0,0,0,0,0
119,391500.0,3,2.0,0.0,3,7,47.7288,-122.226,0,0,0,0,0,0
120,395000.0,2,1.0,0.0,3,6,47.6999,-122.364,0,0,0,0,0,0
121,445000.0,4,1.75,0.0,5,7,47.5299,-122.266,1,1,0,0,0,0
122,770000.0,3,2.25,0.0,3,9,47.6897,-122.098,0,0,1,0,0,0
124,445000.0,3,2.25,2.0,3,8,47.5091,-122.244,1,0,0,0,0,0
125,260000.0,4,2.25,0.0,3,8,47.3129,-122.39,1,0,0,0,0,0
126,822500.0,5,3.5,0.0,5,7,47.6763,-122.352,1,0,1,0,0,0
127,212000.0,3,1.75,0.0,4,7,47.2761,-122.152,0,0,0,0,0,0
128,660500.0,4,2.25,0.0,3,8,47.5343,-122.054,1,0,0,0,0,0
129,784000.0,3,3.5,0.0,3,9,47.697,-122.072,1,1,0,0,0,0
130,453246.0,3,2.5,0.0,3,8,47.5517,-121.998,1,0,1,0,0,0
131,675000.0,4,3.5,0.0,3,9,47.6734,-122.38,0,0,0,0,1,0
132,199000.0,3,1.75,0.0,4,7,47.3257,-122.296,0,0,0,0,0,0
133,220000.0,4,1.75,0.0,3,7,47.3309,-122.299,1,0,0,0,0,0
134,452000.0,4,2.25,0.0,4,8,47.7689,-122.266,1,0,0,0,0,0
135,382500.0,2,1.0,0.0,3,6,47.7135,-122.287,0,0,0,0,0,0
136,519950.0,3,2.25,0.0,3,8,47.6722,-122.381,0,0,0,0,1,0
137,665000.0,2,1.0,0.0,3,7,47.6338,-122.358,0,0,0,0,0,0
138,527700.0,5,2.5,0.0,4,8,47.5707,-122.128,1,0,0,0,0,0
139,205000.0,3,1.0,0.0,4,7,47.4563,-122.171,1,0,0,0,0,0
140,420000.0,3,1.0,0.0,4,7,47.7144,-122.351,1,0,0,0,0,0
141,500000.0,4,2.25,0.0,4,8,47.5495,-122.174,1,0,0,0,0,0
142,921500.0,4,2.5,0.0,4,9,47.7421,-122.026,0,0,1,0,0,0
143,890000.0,4,1.0,0.0,3,8,47.6354,-122.353,1,0,1,0,0,0
144,430000.0,2,2.5,0.0,3,7,47.5262,-121.943,0,0,1,0,0,0
145,258000.0,5,2.0,0.0,4,8,47.3887,-122.286,1,0,0,0,0,0
146,511000.0,3,1.0,0.0,3,7,47.6873,-122.336,1,0,0,0,0,0
147,532170.0,3,2.0,0.0,3,8,47.6838,-122.353,0,0,1,0,0,0
148,560000.0,3,1.0,0.0,3,7,47.655,-122.359,0,1,0,0,0,0
149,282950.0,3,1.0,0.0,4,7,47.3255,-122.304,0,0,0,0,0,0
151,350000.0,1,1.0,0.0,3,7,47.679,-122.3,0,0,0,0,0,0
152,215000.0,3,1.0,0.0,4,7,47.4479,-122.176,0,0,0,0,0,0
153,650000.0,5,3.5,0.0,3,9,47.525,-122.172,1,0,1,0,0,0
154,320000.0,4,2.75,0.0,3,8,47.3135,-122.369,1,0,0,0,0,0
155,247000.0,3,2.0,0.0,3,7,47.2086,-121.996,0,1,0,0,0,0
156,320000.0,4,1.75,0.0,4,8,47.4715,-122.118,0,0,0,0,0,0
157,255000.0,5,2.25,0.0,3,7,47.4877,-122.335,1,0,0,0,0,0
158,438000.0,3,1.75,0.0,3,7,47.7171,-122.193,0,0,0,0,0,0
159,900000.0,3,2.5,0.0,3,10,47.6012,-122.023,0,0,1,0,0,0
160,441000.0,3,2.75,0.0,3,7,47.7319,-122.224,1,0,0,0,0,0
161,420000.0,3,2.0,0.0,4,7,47.4582,-122.023,1,0,0,0,0,0
162,370000.0,3,1.75,0.0,3,7,47.7209,-122.168,1,0,0,0,0,0
163,269950.0,2,1.75,0.0,5,5,47.408,-122.327,1,0,0,0,0,0
164,807100.0,4,2.5,0.0,3,9,47.565,-122.125,0,0,1,0,0,0
165,653000.0,3,2.5,0.0,4,8,47.7028,-122.231,1,0,0,0,0,0
166,371500.0,3,2.0,0.0,5,7,47.7458,-122.331,0,0,0,0,0,0
167,284000.0,3,1.75,0.0,3,7,47.4776,-122.337,0,0,0,0,0,0
168,272000.0,3,1.75,0.0,4,7,47.3026,-122.374,1,0,0,0,0,0
169,313000.0,3,1.5,0.0,3,7,47.7658,-122.339,0,1,0,0,0,0
170,917500.0,4,2.5,0.0,3,10,47.6477,-122.182,1,0,1,0,0,0
171,673000.0,4,2.25,0.0,4,8,47.5619,-122.125,0,0,1,0,0,0
172,425000.0,3,2.5,0.0,3,8,47.6106,-122.31,1,0,1,0,0,0
173,399950.0,5,2.75,0.0,3,7,47.5868,-122.308,1,0,0,0,0,0
174,385000.0,3,1.0,0.0,3,6,47.6101,-122.307,0,0,0,0,0,0
175,269950.0,3,1.5,2.0,4,7,47.1976,-121.999,1,0,0,0,0,0
176,330000.0,2,1.0,0.0,3,7,47.7224,-122.358,1,0,0,0,0,0
177,260000.0,3,2.5,0.0,3,7,47.3505,-122.179,0,0,1,0,0,0
178,470000.0,4,3.0,0.0,4,7,47.5384,-122.376,1,1,0,0,0,0
179,589000.0,4,3.0,0.0,5,7,47.7044,-122.2,0,0,1,0,0,0
180,163500.0,2,1.5,0.0,3,7,47.3848,-122.039,0,0,1,0,0,0
181,835000.0,4,2.75,0.0,3,9,47.6993,-122.102,1,0,1,0,0,0
183,269000.0,4,1.75,0.0,4,8,47.3099,-122.379,1,0,0,0,0,0
184,560000.0,3,2.5,0.0,3,8,47.62,-122.043,0,0,1,0,0,0
185,615000.0,4,1.0,0.0,4,6,47.65,-122.34,0,1,0,0,0,0
186,585188.0,3,2.25,0.0,3,8,47.6647,-122.153,1,0,0,0,0,0
187,305000.0,3,1.75,0.0,3,7,47.726000000000006,-122.191,1,0,0,0,0,0
188,166950.0,3,1.0,0.0,3,6,47.4616,-122.184,0,0,0,0,0,0
189,799000.0,3,2.5,0.0,4,8,47.5505,-122.219,0,0,0,0,0,0
190,400000.0,3,2.5,0.0,4,7,47.7606,-122.336,1,0,0,0,0,0
191,230000.0,3,1.0,0.0,3,7,47.7481,-122.3,0,0,0,0,0,0
192,256883.0,3,2.5,0.0,3,8,47.2779,-122.347,0,0,1,0,0,0
193,423000.0,4,2.0,0.0,5,7,47.5511,-122.312,1,1,0,0,0,0
194,465000.0,3,2.5,0.0,3,8,47.5488,-122.372,0,0,1,0,0,0
195,440000.0,3,2.5,0.0,3,7,47.5385,-121.911,0,0,1,0,0,0
196,385000.0,3,1.75,0.0,4,7,47.4058,-121.994,0,0,0,0,0,0
197,210000.0,3,1.0,0.0,4,6,47.5093,-122.184,0,0,0,0,0,0
198,297000.0,3,2.5,0.0,3,8,47.3777,-122.165,0,0,1,0,0,0
199,470000.0,3,1.0,0.0,3,7,47.675,-122.394,0,0,0,0,0,0
200,226500.0,3,1.5,0.0,4,7,47.3025,-122.37,1,0,0,0,0,0
201,274250.0,3,1.0,0.0,4,6,47.4787,-122.158,0,0,0,0,0,0
202,677900.0,3,2.5,0.0,3,8,47.7073,-122.114,0,0,1,0,0,0
203,425000.0,3,1.0,0.0,3,7,47.5733,-122.381,0,0,0,0,0,0
204,180250.0,2,0.75,0.0,3,6,47.4604,-122.339,0,0,0,0,0,0
206,320000.0,4,2.25,0.0,3,8,47.354,-122.047,0,0,1,0,0,0
207,625504.0,3,2.25,0.0,3,8,47.6647,-122.284,1,0,1,0,0,0
208,592500.0,4,2.5,0.0,3,9,47.6143,-122.017,0,0,0,0,0,0
209,465000.0,3,2.5,0.0,3,9,47.3185,-122.275,0,0,1,0,0,0
210,477000.0,4,2.75,0.0,3,8,47.5458,-122.268,0,0,1,0,0,0
211,280000.0,2,1.0,0.0,3,6,47.4889,-122.299,0,0,0,0,0,0
213,445838.0,3,2.5,0.0,3,8,47.5133,-122.379,0,0,1,0,0,0
215,467000.0,2,1.5,0.0,4,8,47.7145,-122.367,0,0,0,0,0,0
216,686000.0,4,2.5,0.0,3,10,47.5836,-122.026,0,0,1,0,0,0
217,279950.0,3,2.0,0.0,3,7,47.398,-122.299,1,0,0,0,0,0
218,527000.0,4,2.25,0.0,3,8,47.7663,-122.215,0,0,1,0,0,0
219,325000.0,3,2.25,0.0,4,8,47.3758,-122.217,1,0,0,0,0,0
220,328000.0,3,2.25,0.0,3,7,47.3828,-122.023,0,0,1,0,0,0
221,390000.0,3,2.25,0.0,5,7,47.5123,-122.373,0,0,0,0,0,0
222,479950.0,2,2.0,0.0,3,8,47.7076,-122.013,0,0,0,0,0,0
223,264950.0,4,2.25,0.0,4,7,47.2922,-122.371,1,0,0,0,0,0
224,235000.0,3,1.0,0.0,4,7,47.4075,-122.214,1,0,0,0,0,0
225,516500.0,3,2.5,0.0,3,7,47.6794,-122.034,0,0,1,0,0,0
226,655000.0,2,1.75,4.0,3,7,47.4497,-122.375,1,0,1,0,0,0
227,500000.0,4,2.75,0.0,5,7,47.5218,-122.164,0,0,0,0,0,0
229,213000.0,2,1.0,0.0,3,6,47.5687,-121.899,0,0,0,0,0,0
230,475000.0,3,1.5,0.0,5,7,47.5575,-122.303,1,1,0,0,0,0
232,416000.0,3,2.0,0.0,5,7,47.3459,-121.95,1,0,0,0,0,0
233,410000.0,4,1.0,0.0,3,7,47.6136,-122.303,1,1,0,0,0,0
234,800000.0,3,3.5,0.0,3,10,47.7641,-122.023,1,0,1,0,0,0
236,225000.0,3,1.75,0.0,4,7,47.3173,-122.319,0,0,0,0,0,0
237,210000.0,2,1.0,0.0,3,6,47.5308,-122.376,0,0,0,0,0,0
238,455000.0,2,1.0,0.0,2,7,47.6727,-122.299,0,1,0,0,0,0
239,225000.0,3,1.0,0.0,4,6,47.3221,-122.216,0,0,0,0,0,0
240,480000.0,2,1.0,2.0,4,7,47.6779,-122.353,1,0,0,0,0,0
241,363000.0,3,2.5,0.0,3,9,47.3076,-122.395,0,0,1,0,0,0
243,181000.0,2,1.5,0.0,3,6,47.5218,-122.357,0,0,0,0,0,0
244,250000.0,4,2.0,0.0,4,7,47.2785,-122.213,0,0,0,0,0,0
245,481000.0,3,1.75,0.0,4,6,47.6846,-122.345,1,0,0,0,0,0
246,260000.0,3,2.0,0.0,4,7,47.3656,-122.278,1,0,0,0,0,0
247,455000.0,4,2.5,0.0,3,9,47.4369,-122.111,0,0,1,0,0,0
248,415000.0,3,2.25,0.0,3,8,47.4616,-121.711,0,0,1,0,0,0
249,349500.0,3,1.0,0.0,3,7,47.5405,-122.27,1,0,0,0,0,0
250,245000.0,3,2.5,0.0,3,7,47.3507,-122.178,0,0,1,0,0,0
251,592500.0,2,2.0,2.0,5,7,47.6979,-122.32,0,1,0,0,0,0
252,385000.0,4,1.75,0.0,4,7,47.5278,-122.345,1,0,0,0,0,0
253,315000.0,3,1.75,0.0,4,7,47.4756,-122.147,1,0,0,0,0,0
254,255000.0,3,1.0,0.0,3,7,47.4437,-121.772,0,0,0,0,0,0
255,693000.0,4,2.5,0.0,3,8,47.7048,-122.109,0,0,1,0,0,0
256,780000.0,3,1.0,0.0,3,8,47.6362,-122.302,1,1,0,0,0,0
257,237000.0,3,1.75,0.0,4,7,47.4207,-122.29,0,0,0,0,0,0
258,525000.0,3,2.25,0.0,3,10,47.6154,-122.047,1,0,1,0,0,0
259,425000.0,2,1.0,0.0,3,5,47.5964,-122.299,0,0,0,0,0,0
260,369900.0,1,0.75,4.0,5,5,47.4683,-122.438,0,0,0,0,0,0
261,290000.0,4,2.5,0.0,4,7,47.4045,-122.171,0,0,1,0,0,0
262,285000.0,3,1.0,0.0,3,7,47.5544,-122.358,0,0,0,0,0,0
263,415000.0,2,1.0,0.0,3,7,47.6802,-122.29,0,0,0,0,0,0
264,272500.0,3,2.5,0.0,3,8,47.2988,-122.371,1,0,0,0,0,0
267,436000.0,2,1.0,0.0,4,7,47.7107,-122.352,0,0,0,0,0,0
268,210000.0,3,1.0,0.0,4,7,47.3271,-122.323,0,0,0,0,0,0
269,236000.0,3,1.0,0.0,3,7,47.5053,-122.255,0,0,0,0,0,0
270,331000.0,3,1.75,0.0,3,7,47.6601,-122.4,1,0,0,0,0,0
271,365000.0,3,2.5,0.0,3,8,47.4145,-122.166,0,0,1,0,0,0
272,450000.0,3,2.0,0.0,5,8,47.4672,-122.165,0,0,0,0,0,0
273,770000.0,4,2.75,0.0,3,9,47.7618,-122.261,1,0,1,0,0,0
274,455000.0,4,2.5,0.0,3,8,47.3828,-122.071,0,0,0,0,0,0
275,405000.0,3,1.75,0.0,3,6,47.5362,-122.268,1,0,0,0,0,0
276,304900.0,4,1.75,0.0,4,7,47.3954,-122.206,1,0,0,0,0,0
277,170000.0,2,1.0,0.0,3,6,47.5048,-122.272,0,0,0,0,0,0
279,780000.0,4,2.5,0.0,3,9,47.6811,-122.025,0,0,1,0,0,0
280,330000.0,3,3.0,0.0,4,8,47.7486,-122.23,1,0,0,0,0,0
281,370000.0,4,2.5,0.0,3,9,47.3846,-122.169,0,0,1,0,0,0
282,467000.0,5,2.25,0.0,3,7,47.7564,-122.144,1,0,0,0,0,0
283,405000.0,3,1.75,0.0,3,7,47.7198,-122.193,1,0,0,0,0,0
284,675000.0,5,2.25,0.0,3,8,47.5461,-122.151,1,0,0,0,0,0
285,500000.0,2,1.0,0.0,4,7,47.5712,-122.143,1,0,0,0,0,0
286,389999.0,4,2.5,0.0,4,7,47.4281,-122.343,0,0,1,0,0,0
287,630000.0,4,1.75,2.0,4,8,47.7128,-122.223,1,0,0,0,0,0
288,360000.0,4,2.5,0.0,3,9,47.3341,-122.255,0,0,1,0,0,0
289,580000.0,4,3.0,0.0,3,8,47.5399,-122.181,1,0,1,0,0,0
290,550000.0,3,2.0,3.0,5,8,47.5717,-122.375,1,0,1,0,0,0
291,879000.0,4,2.5,0.0,3,10,47.5951,-122.017,0,0,1,0,0,0
292,265000.0,3,2.0,0.0,3,7,47.3536,-122.144,0,0,0,0,0,0
293,446500.0,3,2.5,0.0,3,8,47.5084,-122.154,0,0,1,0,0,0
294,404000.0,3,1.5,0.0,3,7,47.5586,-122.311,1,0,0,0,0,0
295,267500.0,3,1.75,2.0,3,7,47.4427,-122.274,1,0,0,0,0,0
297,335000.0,3,2.5,0.0,3,8,47.3494,-122.301,0,0,1,0,0,0
298,576000.0,3,2.5,0.0,4,7,47.6933,-122.393,1,0,0,0,0,0
299,208633.0,3,2.5,0.0,3,8,47.3537,-122.0,0,0,1,0,0,0
300,315000.0,3,2.25,0.0,4,7,47.476000000000006,-122.337,1,0,0,0,0,0
301,725000.0,3,1.75,0.0,4,8,47.6239,-122.298,1,0,0,0,0,0
302,550000.0,4,2.75,0.0,4,8,47.7776,-122.384,1,0,0,0,0,0
303,610750.0,4,2.25,0.0,3,8,47.6459,-122.058,0,0,1,0,0,0
304,550700.0,2,1.0,0.0,4,6,47.6692,-122.297,0,1,0,0,0,0
305,665000.0,4,2.75,0.0,5,8,47.5376,-122.18,0,0,1,0,0,0
306,834000.0,4,2.5,2.0,5,8,47.601000000000006,-122.294,1,1,0,0,0,0
307,201000.0,5,1.75,0.0,3,6,47.529,-121.837,0,1,0,0,0,0
311,305000.0,4,2.25,0.0,3,8,47.4441,-122.125,1,0,0,0,0,0
312,487000.0,3,2.0,0.0,5,8,47.7357,-122.333,1,0,0,0,0,0
313,390000.0,3,2.5,0.0,4,8,47.346,-122.157,0,0,0,0,0,0
314,548000.0,2,1.0,0.0,4,7,47.6638,-122.345,1,0,0,0,0,0
315,268750.0,4,1.0,0.0,3,6,47.48,-122.336,0,0,0,0,0,0
316,819900.0,5,2.75,0.0,3,9,47.6759,-122.151,0,0,1,0,0,0
317,520000.0,3,2.25,0.0,3,8,47.5162,-122.057,0,0,1,0,0,0
318,230000.0,3,2.0,0.0,3,7,47.2639,-122.252,0,0,0,0,0,0
319,240000.0,3,1.75,0.0,3,7,47.2929,-122.371,0,0,0,0,0,0
320,232000.0,2,1.0,0.0,3,6,47.4957,-122.352,1,0,0,0,0,0
321,240500.0,2,1.0,0.0,3,6,47.4957,-122.352,1,0,0,0,0,0
322,274975.0,3,2.5,0.0,3,9,47.7721,-122.093,0,0,1,0,0,0
323,740000.0,4,2.0,0.0,4,9,47.644,-122.319,0,1,0,0,0,0
324,186375.0,3,1.0,0.0,2,7,47.472,-122.344,0,0,0,0,0,0
325,790000.0,3,2.25,0.0,4,9,47.592,-122.166,1,0,0,0,0,0
326,880000.0,4,3.5,0.0,3,9,47.669,-122.275,1,0,1,0,0,0
328,295000.0,3,2.0,2.0,3,8,47.1913,-122.012,0,0,0,0,0,0
329,640000.0,2,1.0,0.0,3,7,47.6666,-122.331,0,0,0,0,0,0
330,940000.0,4,2.0,0.0,5,9,47.5639,-122.217,0,0,1,0,0,0
331,260000.0,4,2.5,0.0,3,7,47.3483,-122.052,0,0,1,0,0,0
332,559900.0,3,2.75,0.0,3,9,47.7648,-122.164,1,0,0,0,0,0
333,791500.0,4,2.0,0.0,5,7,47.6794,-122.357,0,1,0,0,0,0
334,265000.0,3,1.75,0.0,3,7,47.7535,-122.354,0,0,0,0,0,0
335,245000.0,3,1.75,0.0,3,7,47.4945,-122.22,0,0,0,0,0,0
336,485000.0,4,1.75,0.0,4,7,47.6945,-122.093,0,0,1,0,0,0
337,684000.0,4,3.5,0.0,3,9,47.5222,-122.157,1,0,1,0,0,0
338,425000.0,3,1.75,0.0,3,8,47.7222,-122.32,1,0,0,0,0,0
339,309600.0,4,1.75,0.0,4,6,47.3796,-122.49,0,0,0,0,0,0
340,552250.0,4,2.5,0.0,3,8,47.5374,-121.875,0,0,1,0,0,0
341,165000.0,4,1.0,0.0,3,6,47.4897,-122.24,0,0,0,0,0,0
342,239900.0,4,1.0,0.0,3,6,47.4897,-122.24,0,0,0,0,0,0
343,320000.0,2,1.0,0.0,4,6,47.4716,-122.078,0,0,0,0,0,0
344,206600.0,3,2.0,0.0,4,7,47.3581,-122.173,0,0,0,0,0,0
345,387000.0,4,1.75,0.0,3,7,47.7713,-122.307,1,0,0,0,0,0
346,299000.0,1,0.75,0.0,3,4,47.675,-121.854,0,0,0,0,0,0
347,855000.0,4,2.75,0.0,3,9,47.5603,-122.222,0,0,1,0,0,0
348,315000.0,3,1.0,0.0,4,7,47.4147,-122.337,1,0,0,0,0,0
